reference_fiche,ndeg_de_version,nature_juridique_du_rappel,categorie_de_produit,sous_categorie_de_produit,nom_de_la_marque_du_produit,noms_des_modeles_ou_references,identification_des_produits,conditionnements,date_debut_fin_de_commercialisation,temperature_de_conservation,marque_de_salubrite,informations_complementaires,zone_geographique_de_vente,distributeurs,motif_du_rappel,risques_encourus_par_le_consommateur,preconisations_sanitaires,description_complementaire_du_risque,conduites_a_tenir_par_le_consommateur,numero_de_contact,modalites_de_compensation,date_de_fin_de_la_procedure_de_rappel,informations_complementaires_publiques,liens_vers_les_images,lien_vers_la_liste_des_produits,lien_vers_la_liste_des_distributeurs,lien_vers_affichette_pdf,lien_vers_la_fiche_rappel,rappelguid,group_key
2023-01-0067,1,Volontaire (sans arrêté préfectoral),"Vêtements, Mode, EPI",Bijouterie,Fashion earing,fashion earring,687009329488,,Du 01/01/2022 au 06/12/2022,,,,France entière,AMMAn ANUMAN APPANE SIVAN,"La teneur en cadmium mesurée dans les parties métalliques, est supérieure à la limite réglementaire.
? La teneur en nickel libéré mesurée est supérieure à la limite réglementaire
? La teneur en plomb mesurée est supérieure à la limite réglementaire.",Intoxication Risque environnemental,,"La teneur en cadmium mesurée dans les parties métalliques, est supérieure à la limite réglementaire.
? La teneur en nickel libéré mesurée est supérieure à la limite réglementaire
? La teneur en plom",Ne plus utiliser le produit Rapporter le produit au point de vente Contacter le point de vente,,Remboursement Echange,lundi 10 janvier 2022,,https://rappel.conso.gouv.fr/image/7e3283b1-ac93-46c8-8790-b2e0b65fb0fc.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/9050/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9050/Interne,E95E9666-BA99-4A8D-89F1-30072974EDAE,2023-01-11
2023-01-0127,1,Volontaire (sans arrêté préfectoral),Maison-Habitat,Matériel de cuisine (sauf électroménager),Carrefour Home,Planche bambou 30x22cm (Taille S) - HO215174,3616181908416 Tous les lots commençant par 2020 et 2021,Film plastique,Du 01/07/2020 au 29/09/2022,,,Taille Small - Dimension 33x20cm,France entière,Carrefour,"La limite réglementaire de migration spécifique en plomb est susceptible d’être dépassée, dans le cadre d’une utilisation prolongée avec un produit chaud.",Dépassement de seuils de sécurité,,Risque de dépassement des limites réglementaires en plomb.,Ne plus utiliser le produit Rapporter le produit au point de vente,805900023,Remboursement,dimanche 19 mars 2023,N°Cristal 0 805 900 023 - prix d'un appel non surtaxé. Du lundi au samedi de 9h à 19h.,https://rappel.conso.gouv.fr/image/6ad9d20b-fc4c-473c-9594-32791b1b4646.jpg https://rappel.conso.gouv.fr/image/7265b6a0-cacb-4631-8bc3-7c246056b996.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/9120/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9120/Interne,71FF531B-6DD0-4D0C-8B49-8C791880F264,2023-01-23
2023-01-0131,1,Volontaire (sans arrêté préfectoral),Alimentation,Céréales et produits de boulangerie,Taureau Ailé,Sélection Basmati COMPLET,3038354593302 L 2021F Date de durabilité minimale 01/01/2025,Sachet 500g,Du 07/02/2022 au 01/01/2025,Produit à conserver à température ambiante,,uniquement le Basmati COMPLET,France entière,"Carrefour, Auchan, Galec, Cora, Intermarché, Casino",Présence avérée d’un pesticide interdit sur le lot et produit décrit ci-dessus.,Dépassement des limites autorisées de pesticides,,Consommation d'un produit alimentaire dans lequel un pesticide interdit a été détecté,Ne plus consommer Rapporter le produit au point de vente,970809112,Remboursement Echange,lundi 20 mars 2023,"Il est demandé aux personnes qui détiendraient ces produits, de ne pas les consommer et de les ramener au point de vente où ils ont été achetés, où ils vous seront échangés ou remboursés.",https://rappel.conso.gouv.fr/image/6f463a27-9ad5-41fb-8e19-2e66a91e23c3.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/9124/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9124/Interne,3C4DA5FF-D676-489D-A21B-10C5737E6B75,2023-01-23
2023-01-0161,1,Volontaire (sans arrêté préfectoral),Alimentation,Herbes et épices,ALI BABA,Sachet de 100 grammes,Date de durabilité minimale 30/06/2024,SACHET 100G,Du 06/12/2022 au 23/01/2023,Produit à conserver à température ambiante,,SACHET CUMIN ENTIER,France entière,"EXO OCEAN 15 avenue Alexis Varagne 95400 VILLIERS LE BEL
MAHALUXMY  OCEAN TROPICAL  107 aveue Pierre semard 95400 VILLIERS LE BEL",Teneur trop élevée pour de multiples pesticides,Dépassement des limites autorisées de pesticides,,Teneur trop élevée pour de multiples pesticides,Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente,139940400,Remboursement,vendredi 31 mars 2023,,https://rappel.conso.gouv.fr/image/16ca0e91-9f77-488b-a733-321e47b4f0d4.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/9154/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9154/Interne,48EE9702-0B03-4725-8964-94EE85ACFB26,2023-01-23
2023-01-0165,1,Volontaire (sans arrêté préfectoral),Alimentation,Fruits et légumes,C'ZON,Barquette 200g,3700516002280 357150 Date de durabilité minimale 26/01/2023 3700516002280 357342 Date de durabilité minimale 01/02/2023,,Du 17/01/2023 au 24/01/2023,Produit à conserver à température ambiante,,,France entière,"METRO, PROMOCASH, LA GRANDE EPICERIE, ROB",Suspicion de présence de pesticides en quantité supérieure à la Limite Maximale Résiduelle (LMR) autorisée en UE,Dépassement des limites autorisées de pesticides,,,Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Détruire le produit,,Remboursement,,,https://rappel.conso.gouv.fr/image/6f2124a0-1187-403f-a32a-b9d45e6bc2be.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/9158/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9158/Interne,9D447C39-DCE1-4042-8292-2E4077A4D55F,2023-02-01
2023-01-0172,1,Volontaire (sans arrêté préfectoral),Alimentation,Fruits et légumes,EAGLOBE,BAIES DE GOJI,3379140109353 201208 Date limite de consommation 30/12/2022,Boîte plastique 200 GR,Du 16/07/2021 au 31/12/2022,Produit à conserver à température ambiante,,Baies de goji origine Chine Fournisseur THAI HUI FOODS,France entière,"Magasins PARIS STORE.
Epiceries asiatiques",Résidus de pesticides,Dépassement des limites autorisées de pesticides,,,Ne plus consommer Rapporter le produit au point de vente,145128888,Remboursement,vendredi 31 mars 2023,,https://rappel.conso.gouv.fr/image/7943d225-c884-44b4-9d18-99f666074afe.jpg,,https://rappel.conso.gouv.fr/document/738f77a9-44db-447f-9d4a-cca6ab87b83e/Interne/ListeDesDistributeurs,https://rappel.conso.gouv.fr/affichettePDF/9167/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9167/Interne,3397B514-38B5-4048-9534-36DE44BC97C4,2023-01-25
2023-02-0188,1,Volontaire (sans arrêté préfectoral),Alimentation,Noix et graines,SANS MARQUE,MELANGE MANHATTAN barquettes poids variables,3580281232606 22080007 Date de consommation recommandée 31/05/2023,Barquettes poids variables,,Produit à conserver à température ambiante,,,France entière,Grand Frais,Dépassement de la LMR EU d'un pesticide,Dépassement des limites autorisées de pesticides,,Dépassement de la LMR EU d'un pesticide,Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente,,Remboursement,mardi 21 mars 2023,,https://rappel.conso.gouv.fr/image/a04b0562-4779-4f17-899c-fa4969bb3d0c.jpg https://rappel.conso.gouv.fr/image/681bb1c9-4b2a-43db-bfa5-d8d9931963dd.jpg https://rappel.conso.gouv.fr/image/571f05c8-d499-4bbd-b576-a2e939ee3628.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/9404/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9404/Interne,B4D3A6EF-0CC0-49BA-ADFE-25F407DA0F8B,2023-02-23
2023-02-0190,1,Volontaire (sans arrêté préfectoral),Alimentation,Noix et graines,B&S La Cuisine,"PISTACHE DECORTIQUEE 100 gr BS
PISTACHE DECORTIQUEE 250GR BS",3580281252024 359/123221 (250g) Date de durabilité minimale 15/12/2023 3580281280720 22080003 (100g) Date de durabilité minimale 30/09/2023 3580281280720 22100027 (100g) Date de durabilité minimale 30/11/2023,,,Produit à conserver à température ambiante,,,France entière,"Grand Frais, Place du Marché, Clients BtoB",Présence d'un pesticide en quantité supérieure à la LMR de l'UE,Dépassement des limites autorisées de pesticides,,Présence d'un pesticide en quantité supérieure à la LMR de l'UE,Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente,,Remboursement,mardi 21 mars 2023,,https://rappel.conso.gouv.fr/image/7f4eda6b-ae99-4a95-8b61-e5e65fc45545.jpg https://rappel.conso.gouv.fr/image/0972bb58-e27f-4540-86d0-2b52cd8665a2.jpg,https://rappel.conso.gouv.fr/document/d4d8aa05-7eb4-44a6-913c-ffb750c01fdc/Interne/ListeDesProduits,,https://rappel.conso.gouv.fr/affichettePDF/9406/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9406/Interne,3A5E62D2-42AC-476E-87E0-50A3D09280C1,2023-02-23
2023-02-0191,1,Volontaire (sans arrêté préfectoral),Alimentation,Noix et graines,SANS MARQUE,"PISTACHE DECORTIQUEE 200 gr
PISTACHE DECORTIQUEE sac 5 KG",3580281252000 359/12322164 (200g) Date de durabilité minimale 29/02/2024 3580288082709 259/2322167 (5 kg) Date de durabilité minimale 24/08/2023 3580288082709 359/12322167 (5 kg) Date de durabilité minimale 24/08/2023,,,Produit à conserver à température ambiante,,,France entière,"Place du Marché, clients BtoB",Présence d'un pesticide en quantité supérieure à la LMR de l'UE,Dépassement des limites autorisées de pesticides,,Présence d'un pesticide en quantité supérieure à la LMR de l'UE,Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente,,Remboursement,mardi 21 mars 2023,,https://rappel.conso.gouv.fr/image/579e8755-dcec-446c-9897-76aa6698d20d.jpg https://rappel.conso.gouv.fr/image/7f7930a9-9e03-415b-b00e-8558bf431a28.jpg https://rappel.conso.gouv.fr/image/e54fc7d5-75a7-4830-a970-04f45932ae61.jpg,https://rappel.conso.gouv.fr/document/e3ac6991-5a91-4c4b-8084-fc9891ae599d/Interne/ListeDesProduits,,https://rappel.conso.gouv.fr/affichettePDF/9407/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9407/Interne,C71BE967-90EC-4BFF-B13C-09109E6AF01D,2023-02-23
2023-02-0192,1,Volontaire (sans arrêté préfectoral),Alimentation,Noix et graines,AGIDRA,PISTACHE DECORTIQUEE 250GR AGIDRA,3580281252031 359/123221 Date de consommation recommandée 15/12/2023,,,Produit à conserver à température ambiante,,,France entière,"Place du Marché, clients BtoB",Présence d'un pesticide en quantité supérieure à la LMR de l'UE,Dépassement des limites autorisées de pesticides,,Présence d'un pesticide en quantité supérieure à la LMR de l'UE,Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente,,Remboursement,mardi 21 mars 2023,,https://rappel.conso.gouv.fr/image/0f03e9bb-d357-4a58-b04a-b68ddb71771a.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/9408/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9408/Interne,DFBE2CC7-D00B-4DE5-A858-0FE4142DEDA3,2023-02-23
2023-03-0017,1,Volontaire (sans arrêté préfectoral),Alimentation,Fruits et légumes,BOMARTS,"Origine: Ghana
Producteur: Golden Riverside",7640130030626 20230271 L1,colis vrac de 6 fruits étiquetés,Du 09/02/2023 au 14/02/2023,Produit à conserver à température ambiante,,Un seul producteur concerné: Golden Riverside,France entière,"FAVAREL-SOULAGE  POMONA, SAPAM",Risque toxicologique (Dépassement LMR pesticides),Dépassement des limites autorisées de pesticides,,,Ne plus consommer Rapporter le produit au point de vente,,Autre (voir informations complémentaires),vendredi 31 mars 2023,,https://rappel.conso.gouv.fr/image/77442092-39ab-48dc-bd64-065de545dcce.jpg https://rappel.conso.gouv.fr/image/4da84f57-5a0e-4802-972d-b07c6d1715cc.jpg https://rappel.conso.gouv.fr/image/ad7a462f-c9cb-451d-b491-1c623682fc47.jpg,,https://rappel.conso.gouv.fr/document/d31b8193-8e08-48b2-9c2c-c4a8511a6655/Interne/ListeDesDistributeurs,https://rappel.conso.gouv.fr/affichettePDF/9510/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9510/Interne,783318DD-F3FB-44FF-ABC1-3D042FFC07F0,2023-03-06
2023-03-0019,1,Volontaire (sans arrêté préfectoral),Alimentation,Herbes et épices,Herbier d'Hortence,19309 LAPACHO ECORCE 100g Herbier d'Hortence,0701197960268 L21238 Date limite de consommation 31/08/2024,,Du 01/09/2021 au 28/02/2023,Produit à conserver à température ambiante,,,France entière,ONATERA,Suspicion de présence  d'un pesticide,Produits phytosanitaires non autorisés,,,Ne plus consommer Rapporter le produit au point de vente,465260060,Remboursement,samedi 1 avril 2023,,https://rappel.conso.gouv.fr/image/88923206-dc1a-4c85-9a0a-87d47d48c890.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/9513/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9513/Interne,757150FB-7E67-46AD-B0FD-B665F43987DE,2023-03-03
2023-03-0020,2,Volontaire (sans arrêté préfectoral),Alimentation,Fruits et légumes,"Orsero, vrac",Filet 2kg et 1.5kg et colis vrac 15kg,3254560413245 73967.B11  74158.B13  74994.B16  75293.B17  AM31.041.B10  AM31.042.B11  AM32.041.B10  3605265023763 AM31.011.A11  AM32.041.B10  AM32.044.B13  AM32.045.B14,"Filet de 1.5kg et 2kg
Carton vrac de 15kg",Du 10/02/2023 au 20/02/2023,Produit à conserver à température ambiante,,,France entière,"auchan, cora, intermarché, leclerc,match, Système U","Présence d'un pesticide, à savoir Chlorpyriphos non autorisé au regard du Règlement d'application UE 396/2005.",Autres contaminants chimiques,,,Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Détruire le produit,624476294,Remboursement,dimanche 19 mars 2023,,https://rappel.conso.gouv.fr/image/1fbbb3ba-220f-4800-a294-6e420fc3aa9c.jpg https://rappel.conso.gouv.fr/image/0ea03f11-a6b4-45f0-ae8d-854090a32510.jpg,https://rappel.conso.gouv.fr/document/e257b5da-8fa8-4110-9647-48832fc148cd/Interne/ListeDesProduits,https://rappel.conso.gouv.fr/document/0bc536f0-d2eb-4dcc-8a8e-ea9c72db0fa8/Interne/ListeDesDistributeurs,https://rappel.conso.gouv.fr/affichettePDF/9539/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9539/Interne,277F9C87-8C5A-4911-95DA-D7D627E42772,2023-03-07
2023-03-0054,1,Volontaire (sans arrêté préfectoral),Alimentation,"Cacao, café et thé",Disneyland Paris,Assortiment de thés et d’infusion aromatisés,2081650220121 2213362 Date de durabilité minimale 11/10/2025,boites métaliques,Du 25/11/2022 au 19/01/2023,Produit à conserver à température ambiante,,"3 boites de thé de Noël empilées : 1 thé vert, 1 thé rooibos, 1 thé noir",Site de Disneyland Paris et Disney Village,14 boutiques de Disneyland Paris et Disney Village,Dépassement des limites autorisées de pesticides,Dépassement des limites autorisées de pesticides,,Dépassement des limites autorisées de pesticides,Ne plus consommer Rapporter le produit au point de vente Contacter le service consommateur Détruire le produit,164746166,Remboursement,dimanche 7 mai 2023,,https://rappel.conso.gouv.fr/image/454753e6-1f2b-43e7-9bd9-c554dd8232a7.jpg,,https://rappel.conso.gouv.fr/document/858a6b39-2f5d-4606-a1f2-97ea5071a7da/Interne/ListeDesDistributeurs,https://rappel.conso.gouv.fr/affichettePDF/9553/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9553/Interne,F6B3300B-4506-4C12-BCAE-6A2652882342,2023-03-08
2023-03-0057,1,Imposé par arrêté préfectoral,Alimentation,"Cacao, café et thé",Prophar,Sachet de 100 g de tisane Minciane,P21-07-106 Date de durabilité minimale 12/07/2024,SACHET DE 100g,Du 07/07/2021 au 07/03/2022,Produit à conserver à température ambiante,,,France entière,Pharmacies uniquement,Dépassement des limites autorisées de pesticides pour le pissenlit présent dans le mélange de Tisane,Dépassement des limites autorisées de pesticides,,,Détruire le produit,241872047,Echange,vendredi 5 mai 2023,,https://rappel.conso.gouv.fr/image/cf09055f-aed9-4f2e-81a9-6c48408d369e.jpg https://rappel.conso.gouv.fr/image/f21f7afa-4a50-4c59-baee-6ff92dc6f439.jpg,,https://rappel.conso.gouv.fr/document/2071725e-87e7-44be-afa7-26b9bace4343/Interne/ListeDesDistributeurs,https://rappel.conso.gouv.fr/affichettePDF/9556/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9556/Interne,59298852-6D26-4DC6-99B6-B499864D7188,2023-03-09
2023-03-0062,1,Volontaire (sans arrêté préfectoral),Alimentation,Aliments diététiques et nutrition,VITADIAL,COTRIDIAL,G0622022502 PF01 Date de durabilité minimale 28/02/2025,60 gélules,Du 25/05/2022 au 03/03/2023,Produit à conserver à température ambiante,,,France entière,Vente directe au consommateur,"Produits non conformes au règlement (CE) n°396/2005 concernant les limites maximales applicables aux résidus de pesticides, présentant un risque sérieux pour la santé de l'homme ou de l'animal.",Dépassement des limites autorisées de pesticides,,,Ne plus consommer Rapporter le produit au point de vente,241872623,Remboursement Echange,mercredi 3 mai 2023,,https://rappel.conso.gouv.fr/image/e830b401-635d-426d-93f9-ff533be37f28.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/9561/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9561/Interne,0190E262-10F4-4A11-BA77-D164E680656D,2023-03-09
2023-03-0077,1,Imposé par arrêté préfectoral,Alimentation,Aliments diététiques et nutrition,PROPHAR LABORATOIRE,"CHRYSANTELLUM AMERIC 50 gélules
CHRYSANTELLUM AMERIC 150 gélules",3401565601317 K-22-031 Date de durabilité minimale 01/11/2026 3401565953713 K-22-031 Date de durabilité minimale 01/11/2026,Piluliers de 50 gélules et 150 gélules,Du 14/11/2022 au 06/03/2023,Produit à conserver à température ambiante,,,France entière,Pharmacies uniquement,Présence de pesticides,Dépassement des limites autorisées de pesticides,,Présence de résidus de pesticides (chlorpyrifos) supérieurs à la LMR fixée à 0.01mg/kg,Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Contacter le point de vente Détruire le produit,241872047,Remboursement Echange,lundi 8 mai 2023,,https://rappel.conso.gouv.fr/image/433af9b5-2f36-4fda-890a-6e25a49fa0ed.jpg https://rappel.conso.gouv.fr/image/9df3d87f-f6d9-4248-91b8-6d3982372443.jpg,,https://rappel.conso.gouv.fr/document/4b10a017-4c6e-441d-b637-f7108e10c305/Interne/ListeDesDistributeurs,https://rappel.conso.gouv.fr/affichettePDF/9577/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9577/Interne,B5C0C089-C19E-4D51-9ADC-BCF783B0350C,2023-03-10
2023-03-0078,1,Volontaire (sans arrêté préfectoral),Alimentation,Aliments diététiques et nutrition,Rue des Plantes,PDR-BCHARMAR-500,112030004 Date de durabilité minimale 01/07/2024,Doyapck de 500g,Du 01/04/2022 au 30/01/2023,Produit à conserver à température ambiante,,Poudre en doypack kraft,France entière,Rue des Plantes Retail et Ruedesplantes.com,Présence de pesticides,Dépassement des limites autorisées de pesticides,,Présence de résidus de pesticides (chlorpyrifos) supérieurs à la LMR fixée à 0.01mg/kg,Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Contacter le point de vente Détruire le produit,241961465,Remboursement Echange,samedi 10 juin 2023,,https://rappel.conso.gouv.fr/image/075adfdd-75a8-46f8-b8ac-ff97be4a16ef.jpg,,https://rappel.conso.gouv.fr/document/4f661e15-f486-47cc-b215-1423f1e65611/Interne/ListeDesDistributeurs,https://rappel.conso.gouv.fr/affichettePDF/9578/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9578/Interne,0D30AAFE-75E2-4862-8800-21C296790A02,2023-03-13
2023-03-0080,1,Volontaire (sans arrêté préfectoral),Alimentation,Aliments diététiques et nutrition,euro santé diffusion,Gélules de millepertuis par 60,3580258170399 108639 Date limite de consommation 01/10/2025,Boite carton de 60 gélules,Du 10/10/2022 au 10/03/2023,Produit à conserver à température ambiante,,,France entière,ESD,Le produit est non conforme au règlement UE n°2018/848 relatif à la production biologique et non-conforme au règlement CE n°396/2005 concernant les limites maximales applicables aux résidus de pesticides.,Dépassement des limites autorisées de pesticides,,,Ne plus consommer Rapporter le produit au point de vente,467296425,Echange,jeudi 10 août 2023,,https://rappel.conso.gouv.fr/image/0a3d8d3c-feb7-45d3-ade1-08c63881cb22.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/9580/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9580/Interne,7DE2747D-C2DF-46E8-8FB9-10BDB69F3EEC,2023-03-15
2023-03-0090,1,Volontaire (sans arrêté préfectoral),Alimentation,Aliments diététiques et nutrition,Jolivia,"lot 0003/ DDM 03/2025
lot 0057 / DDM 01/2026",003 Date de durabilité minimale 31/03/2025  0057 Date de durabilité minimale 31/01/2026,,Du 13/04/2022 au 24/02/2023,Produit à conserver à température ambiante,,,France entière,www.jolivia.fr,détection d'un pesticide,Autres contaminants chimiques,,,Ne plus consommer Ne plus utiliser le produit Contacter le service consommateur Détruire le produit,699422227,Remboursement Echange,,,https://rappel.conso.gouv.fr/image/1a0f6f22-c8fa-4836-a7f7-63fd38afd554.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/9590/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9590/Interne,B7843257-4119-48F7-9899-F8F59D8EAC6C,2023-03-21
2023-03-0092,1,Volontaire (sans arrêté préfectoral),Alimentation,Aliments diététiques et nutrition,Sungreen,Pilulier de 200 gélules lot 0013 et 179,0013 Date de durabilité minimale 31/05/2025  179 Date de durabilité minimale 31/10/2024,pilulier de 200 gélules,Du 13/12/2021 au 26/08/2022,Produit à conserver à température ambiante,,,France entière,www.jolivia.fr,détection d'un pesticide en quantité supérieure à la LMR,Autres contaminants chimiques,,,Ne plus consommer Ne plus utiliser le produit Contacter le service consommateur Détruire le produit,699422227,Remboursement Echange,,,https://rappel.conso.gouv.fr/image/5101d290-99f2-4cd3-bb4a-367881ab14f0.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/9592/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9592/Interne,7A50D2D5-EB8C-42C5-9679-31FC89E66D95,2023-03-21
2023-03-0093,1,Volontaire (sans arrêté préfectoral),Alimentation,Aliments diététiques et nutrition,Sungreen,pilulier de 200 gélules,0011 Date de durabilité minimale 30/04/2025  178 Date de durabilité minimale 31/10/2024,pilulier de 200 gélules,Du 14/12/2021 au 09/01/2023,Produit à conserver à température ambiante,,,France entière,www.jolivia.fr,détection d'un pesticide en quantité supérieure à la LMR,Autres contaminants chimiques,,,Ne plus consommer Ne plus utiliser le produit Contacter le service consommateur Détruire le produit,699422227,Remboursement Echange,,,https://rappel.conso.gouv.fr/image/2264b42b-e343-4acd-a51d-f3338e891d8d.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/9593/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9593/Interne,69D47B8C-2E3D-4573-B7FF-221E4C0A518F,2023-03-21
2023-03-0106,1,Volontaire (sans arrêté préfectoral),Alimentation,Aliments diététiques et nutrition,Herboristerie LARMIGNAT,Boite de 100 gélules,F660223 F130223 F720123 F641422 F101422 F281322 F861222 F761122 F291022 F7708/22 F050822 F400722,Pilulier de 100 gélules,Du 26/04/2022 au 28/02/2023,Produit à conserver à température ambiante,,,France entière,"Boutique HERBORISTERIE LARMIGNAT 
72 Grande Rue
86100 CHATELLERAULT",Dépassement des limites autorisées de pesticides,Dépassement des limites autorisées de pesticides,,,Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Contacter le point de vente,549210828,Remboursement Echange,mercredi 31 mai 2023,,https://rappel.conso.gouv.fr/image/4c595008-a641-445c-8e66-fa8ebdcf2972.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/9606/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9606/Interne,10E9A5BC-EEC2-41B2-B752-580B5DC2C826,2023-03-17
2023-03-0111,1,Volontaire (sans arrêté préfectoral),Alimentation,Aliments diététiques et nutrition,HERBORISTERIE LARMIGNAT,PRUNIER D'AFRIQUE,F550123 F021422 F681222 F231122 F4890922 F060822,pilulier,Du 17/05/2022 au 28/02/2023,Produit à conserver à température ambiante,,pilulier 100 gélules,France entière,herboristerie LARMIGNAT,Dépassement des limites autorisées de pesticides,Dépassement des limites autorisées de pesticides,,,Ne plus consommer Ne plus utiliser le produit,549210828,Echange,mardi 30 mai 2023,,https://rappel.conso.gouv.fr/image/4bbbac90-256c-4996-8c46-909d865360c1.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/9611/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9611/Interne,1C35427A-E194-4F55-9FB5-B2EA76F46832,2023-03-17
2023-03-0130,1,Volontaire (sans arrêté préfectoral),Alimentation,Aliments diététiques et nutrition,DIETI NATURA,"MILLEPERTUIS BIO 60 gélules
MILLEPERTUIS BIO 200 gélules",3700446420147 005239-01 (pilulier 200 gélules) Date de durabilité minimale 31/01/2026 3700446420130 008780-01 (pilulier 60 gélules) Date de durabilité minimale 31/01/2026,Pilulier de 60 gélules et pilulier de 200 gélules,,Produit à conserver à température ambiante,,,France entière,Site internet de DIETI NATURA : https://www.dieti-natura.com/,Présence d'un pesticide à un taux non conforme à la règlementation en vigueur.,Dépassement des limites autorisées de pesticides,,,Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Contacter le service consommateur,800919283,Echange,,Contacter notre service clients au 0 800 919 283 pour procéder à l'échange de produit.,https://rappel.conso.gouv.fr/image/2e10c259-60f1-4548-a360-473e5eb23ddf.jpg https://rappel.conso.gouv.fr/image/4581fa0f-1b51-4709-b304-6884e5f5210d.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/9630/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9630/Interne,DBEA7789-6308-42EC-ABB4-5C53AB7CC57D,2023-03-21
2023-03-0131,1,Volontaire (sans arrêté préfectoral),Alimentation,Aliments diététiques et nutrition,DIETI NATURA,COMPLEXE TRANSIT 200 gélules,3700446414160 005593-01 Date de durabilité minimale 30/04/2025,Pilulier de 200 gélules,,Produit à conserver à température ambiante,,,France entière,Site internet de DIETI NATURA : https://www.dieti-natura.com/,Présence d'un pesticide à un taux non conforme à la règlementation en vigueur.,Dépassement des limites autorisées de pesticides,,,Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Contacter le service consommateur,800919283,Echange,,Contacter notre service clients au 0 800 919 283 pour procéder à l'échange de produit.,https://rappel.conso.gouv.fr/image/94904f83-fe9e-4fb0-a207-776d43f2450c.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/9631/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9631/Interne,6D4A5580-8990-49E4-909A-6F7ADC3D019C,2023-03-21
2023-03-0132,1,Volontaire (sans arrêté préfectoral),Alimentation,Aliments diététiques et nutrition,DIETI NATURA,CHRYSANTHELLUM 200 gélules,3700446413682 006514-01 Date de durabilité minimale 30/09/2026,Pilulier de 200 gélules,,Produit à conserver à température ambiante,,,France entière,Site internet de DIETI NATURA : https://www.dieti-natura.com/,Présence d'un pesticide à un taux non conforme à la règlementation en vigueur.,Dépassement des limites autorisées de pesticides,,,Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Contacter le service consommateur,800919283,Echange,,Contacter notre service clients au 0 800 919 283 pour procéder à l'échange de produit.,https://rappel.conso.gouv.fr/image/ca8dc894-6b96-4246-b892-4d5cf5bf44b4.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/9632/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9632/Interne,56360920-A815-4CF6-8C68-478D6CE5A327,2023-03-21
